,gapfraction
3466,0.961409569598892
3473,0.07976788429238937
3478,0.3541754559131397
3498,0.6270785738734508
3499,0.728999339314001
3513,0.9108790307815995
3516,0.4719447252581053
3525,0.9690114386238627
3529,0.9744481679893653
3532,0.9618951340078168
3536,0.9350458102159568
3537,0.7861924586275243
3565,0.7213735900721978
3568,0.2465711988664857
3572,0.3476879970070128
3581,0.5525404570673502
3588,0.3504899424486774
3592,0.45861956426564354
3598,0.6762957007649629
3601,0.7845845240274781
3604,0.6018053443925271
3609,0.869558295589324
3612,0.9388268445477485
3615,0.940737261894338
3618,0.9013349041209294
3624,0.5186703495267737
3647,0.7793467964689119
3654,0.6583934982129638
3658,0.9605100814315394
3661,0.9656363679782213
3662,0.9442794940578061
3678,0.9252947216760729
3683,0.9728004330279318
3687,0.9717019430536429
3691,0.9835465306024979
3693,0.9705954930070765
3703,0.5805280711948865
3718,0.556759295374402
3722,0.6459917056046869
3726,0.7946380953139055
3746,0.285480032158692
3772,0.3690130306383182
3788,0.07926639973890963
3792,0.41476752608913686
3797,0.4501978077960948
3805,0.11014352010316254
3809,0.23165402341853264
3817,0.6161653147810582
3818,0.24842589570713303
3829,0.05053053881729246
3832,0.22181537408359667
3843,0.5748366195165052
3846,0.21115683730408272
3852,0.6608213202575879
3860,0.04701218687065679
3863,0.6709465321945123
3871,0.7996211005595931
3880,0.7638246555278722
3888,0.9937911436235841
3889,0.8688816894457402
3905,0.9278897052385235
3910,0.8111552452896272
3914,0.9636383898365797
3920,0.9754670572408798
3923,0.848989468824377
3935,0.907695001870617
3947,0.5787848153661235
3951,0.7350649143894227
3954,0.8886385888383866
3961,0.8708319071537169
3968,0.9843106975411337
3974,0.8689214898071275
3977,0.9562832830522101
3978,0.9764222659141745
3988,0.9908140765918154
3992,0.9953751980067979
3996,0.9868499605976422
3999,0.9999363194217803
4002,0.9992358330613642
4006,1.0
4011,1.0
4019,0.9658512899297126
4029,1.0
4030,1.0
4039,0.9978985409187515
4046,0.9941652670206246
4049,1.0
4052,1.0
4055,0.9933294594314916
4057,1.0
4076,0.831493229958528
4082,0.7645808623942305
4090,0.31654819425760383
4094,0.23749671647018555
4098,0.5887110254961115
4101,0.396260358044051
4109,0.23236246985122624
4121,0.8398751860666895
4124,0.8550868841889084
4129,0.9170878871580154
4133,0.8183193103393379
4153,0.9475829240529504
4156,0.9531390545026149
4159,0.9651746837861288
4162,0.9152172701728132
4165,0.9397104125705461
4168,0.9287653131890438
4174,0.9476386445588926
4178,0.9545241070788922
4195,0.9373303509595867
4198,0.9345045253010897
4201,0.9500425863866844
4209,0.9093029364706632
4217,0.973779521918059
4221,0.9680801101674004
4227,0.9965771689206938
4228,0.9947941127305436
4249,0.9214102064046742
4252,0.9344328846505926
4257,0.8903340842334848
4262,0.7173059931384177
4272,0.9528922922620138
4282,0.9830370859767407
4285,0.9687089558773193
4292,0.3082537989444944
4296,0.9164908817372062
4299,0.9550733520660367
4310,0.9813495506539199
4314,0.9686213950822673
4318,0.9992039927722544
4321,0.9969194520286244
4324,0.9986706679296647
4334,0.802287724772541
4337,0.946285432271725
4338,0.9477660057153319
4347,0.9368368264783844
4351,0.9995860762415723
4354,1.0
4357,1.0
4361,0.9821614780262204
4379,0.9630095441266606
4383,0.9896837463284167
4397,0.4207694205863389
4404,0.33060568189959166
4427,0.445978969489043
4430,0.4394119098601415
